recipe_id,recipe_title,style,style_group,year,stage_number,stage,start_temp_F,end_temp_F,duration_days,ramp_per_day_F
172,Kathleen’s Spruce Ale,AMERICAN PALE ALE,IPA,2018.0,1,Primary,68.0,68.0,7.0,
174,Two Flamingoes Strawberry Milkshake IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,1,Primary,65.0,65.0,10.0,
174,Two Flamingoes Strawberry Milkshake IPA,HAZY / NEW ENGLAND IPA,IPA,2018.0,2,Secondary,70.0,70.0,7.0,
175,Grisette de Saison,BELGIAN ALE,BELGIAN,2018.0,1,Primary or with pure culture,,,14.0,
175,Grisette de Saison,BELGIAN ALE,BELGIAN,2018.0,2,Cellar aging (if mixed culture),,,60.0,
176,Ordinary Grisette,BELGIAN ALE,BELGIAN,2018.0,1,Pitching and ramp to 23\u00b0C,66.0,74.0,3.0,1.0
176,Ordinary Grisette,BELGIAN ALE,BELGIAN,2018.0,2,Hold at ~74\u00b0F for 2-3 days and cool to 59\u00b0F,74.0,59.0,5.0,
177,Stew’s Brew Imperial Black IPA,IPA,IPA,2018.0,1,Primary,68.0,,7.0,
178,Stew’s Brew Hefeweizen,HEFEWEIZEN,WHEAT_BEER,2018.0,1,Primary,65.0,,7.0,
179,Westbound Quad,BELGIAN ALE,BELGIAN,2018.0,1,Primary,67.0,72.0,10.0,
179,Westbound Quad,BELGIAN ALE,BELGIAN,2018.0,2,Conditioning,50.0,50.0,30.0,
180,Bleu Reserve,BELGIAN ALE,BELGIAN,2018.0,1,Primary,62.0,62.0,0.0,
180,Bleu Reserve,BELGIAN ALE,BELGIAN,2018.0,2,Gradual raise,62.0,65.0,2.0,1.0
180,Bleu Reserve,BELGIAN ALE,BELGIAN,2018.0,3,Fermentation,65.0,72.0,,
181,Big Star Lager,AMERICAN PILSNER,LAGER,2018.0,1,Primary,52.0,52.0,10.0,
181,Big Star Lager,AMERICAN PILSNER,LAGER,2018.0,2,Secondary,58.0,58.0,4.0,
181,Big Star Lager,AMERICAN PILSNER,LAGER,2018.0,3,Cold Crash,32.0,32.0,28.0,
182,Simple Pils,GERMAN PILSNER,LAGER,2018.0,1,Primary,52.0,52.0,10.0,
182,Simple Pils,GERMAN PILSNER,LAGER,2018.0,2,Increase temp,52.0,58.0,4.0,1.0
183,Chrysanthemum Flower Tea Kölsch,HYBRID BEER,OTHER,2018.0,1,Primary,60.0,60.0,7.0,
183,Chrysanthemum Flower Tea Kölsch,HYBRID BEER,OTHER,2018.0,2,Secondary,60.0,60.0,7.0,
184,TukTukTea IPA,IPA,IPA,2018.0,1,Primary,,,,
185,Choc Full O’ Cherry Porter,FRUIT BEER,OTHER,2007.0,1,Primary,,,,
185,Choc Full O’ Cherry Porter,FRUIT BEER,OTHER,2007.0,2,Secondary,,,14.0,
186,John’s “World Famous” Dark Lager,DARK LAGER,LAGER,,1,Primary,55.0,55.0,,
188,Just Another Pretty Face,BARLEYWINE,STRONG_ALE,2017.0,1,Primary,68.0,68.0,,
189,American-Style Cascadian India Dark Double Black IPA (ASCIDDBIPA),IPA,IPA,2018.0,1,Primary,65.0,68.0,2.0,
190,Bru’n Dry Stout,IRISH STOUT,STOUT,2013.0,1,Primary,68.0,68.0,14.0,
191,Organic Juniper Porter,BALTIC PORTER,PORTER,2005.0,1,Primary,68.0,68.0,7.0,
191,Organic Juniper Porter,BALTIC PORTER,PORTER,2005.0,2,Secondary,68.0,68.0,7.0,
192,Right on Hoover Hefeweizen,HEFEWEIZEN,WHEAT_BEER,2018.0,1,Primary,64.0,64.0,14.0,
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,1,Souring,97.0,97.0,1.0,
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,2,Main fermentation,64.0,66.0,14.0,
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,3,Fruit addition,66.0,74.0,7.0,
194,Psychedelic Weisse (Berliner Weisse with Dragon Fruit and Guava),BERLINER WEISSE,SOUR,2017.0,4,Cold crash,32.0,32.0,7.0,
195,American IPA con Pomelo Rosado (Pink Grapefruit American IPA),AMERICAN IPA,IPA,2017.0,1,Primary,66.0,66.0,3.0,
195,American IPA con Pomelo Rosado (Pink Grapefruit American IPA),AMERICAN IPA,IPA,2017.0,2,Fermentation temp increase,66.0,74.0,2.0,4.0
196,Barley Phillip Irish Red,AMBER ALE,AMBER_ALE,2018.0,1,Primary,65.0,,,
196,Barley Phillip Irish Red,AMBER ALE,AMBER_ALE,2018.0,2,Secondary,60.0,61.0,14.0,
197,Terre au Verre,BELGIAN ALE,BELGIAN,2018.0,1,Primary,70.0,80.0,3.0,
198,Pirate of the Baltic Porter,Baltic Porter,PORTER,2012.0,1,Primary,64.0,,10.0,
198,Pirate of the Baltic Porter,Baltic Porter,PORTER,2012.0,2,Secondary,64.0,,42.0,
199,Cherry Dubbel,BELGIAN ALE,BELGIAN,2007.0,1,Primary,,,,
201,Höfter’s Blanc Pale Ale,AMERICAN PALE ALE,IPA,2017.0,1,Primary,65.0,,6.0,
202,Boeing Smoked Apple Lager (extract),AMBER LAGER,LAGER,2017.0,1,Primary,70.0,70.0,7.0,
202,Boeing Smoked Apple Lager (extract),AMBER LAGER,LAGER,2017.0,2,Secondary,55.0,55.0,14.0,
202,Boeing Smoked Apple Lager (extract),AMBER LAGER,LAGER,2017.0,3,Lager,35.0,45.0,21.0,
203,Squeeze the Day,FRUITED SOUR,SOUR,2017.0,1,Primary,,,,
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,1,Primary,65.0,68.0,2.0,
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,2,Fermentation,48.0,,36.0,
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,3,Secondary/Conditioning,50.0,55.0,14.0,
204,Imperial Rice Pilsner,PILSNER,LAGER,2017.0,4,Diacetyl rest,60.0,,7.0,
205,SMASH Bohemian Pils,CZECH / BOHO PILS,LAGER,2017.0,1,Primary,48.0,,2.0,
205,SMASH Bohemian Pils,CZECH / BOHO PILS,LAGER,2017.0,2,Main fermentation,50.0,55.0,14.0,
205,SMASH Bohemian Pils,CZECH / BOHO PILS,LAGER,2017.0,3,Diacetyl rest,60.0,,3.0,
206,Siebte Flasche,HEFEWEIZEN,WHEAT_BEER,2017.0,1,Primary,62.0,72.0,5.0,2.0
207,No Fail Extract IPA,AMERICAN IPA,IPA,2017.0,1,Primary,,67.0,4.0,
207,No Fail Extract IPA,AMERICAN IPA,IPA,2017.0,2,Secondary or conditioning,,,5.0,
208,Rye the Heck Not?,WHEAT & RYE BEER,WHEAT_BEER,2012.0,1,Fermentation,58.0,58.0,,
209,Super Nice Day IPA,IPA,IPA,2017.0,1,Primary,66.0,66.0,14.0,
209,Super Nice Day IPA,IPA,IPA,2017.0,2,Secondary,60.0,60.0,5.0,
211,Continental-Style Baltic Porter,BALTIC PORTER,PORTER,2017.0,1,Primary,48.0,48.0,2.0,
211,Continental-Style Baltic Porter,BALTIC PORTER,PORTER,2017.0,2,Secondary,50.0,50.0,14.0,
211,Continental-Style Baltic Porter,BALTIC PORTER,PORTER,2017.0,3,Diacetyl Rest,60.0,60.0,7.0,
211,Continental-Style Baltic Porter,BALTIC PORTER,PORTER,2017.0,4,Lagering,35.0,35.0,30.0,
212,London-Style Baltic Porter,BALTIC PORTER,PORTER,2017.0,1,Primary,65.0,68.0,14.0,
213,Golden Ale,ENGLISH PALE ALE,IPA,2017.0,1,Primary,65.0,,,
214,GP75 Pale Ale,AMERICAN PALE ALE,IPA,2017.0,1,Primary,65.0,65.0,,
215,Prost Bock,BOCK,LAGER,2011.0,1,Primary,50.0,50.0,14.0,
215,Prost Bock,BOCK,LAGER,2011.0,2,Lagering,34.0,34.0,42.0,
216,Boulevard Brewing Co. Tank 7,BELGIAN ALE,BELGIAN,,1,Primary,70.0,70.0,,
217,Big Beach Brewing Co. For the Love of…Mosaic,AMERICAN PALE ALE,IPA,,1,Primary,67.0,,,
219,Great Lakes Brewing Edmund Fitzgerald Porter,BALTIC PORTER,PORTER,,1,Primary,68.0,68.0,,
220,New Glarus Brewing Belgian Red Ale,BELGIAN ALE,BELGIAN,,1,Primary,65.0,,7.0,
220,New Glarus Brewing Belgian Red Ale,BELGIAN ALE,BELGIAN,,2,Secondary,65.0,32.0,21.0,
220,New Glarus Brewing Belgian Red Ale,BELGIAN ALE,BELGIAN,,3,Lagering,32.0,,28.0,
221,More Fun Blonde,BELGIAN ALE,BELGIAN,2011.0,1,Primary,75.0,75.0,,
222,Solstice Spice,BELGIAN ALE,BELGIAN,2006.0,1,Primary,65.0,65.0,14.0,
224,The Cure from Cork,Irish Stout,STOUT,2017.0,1,Primary,70.0,70.0,14.0,
225,Copper Ale,AMBER ALE,AMBER_ALE,2017.0,1,Primary,68.0,,1.0,
226,80 Shilling Scottish Ale,AMBER ALE,AMBER_ALE,2017.0,1,Primary,63.0,67.0,4.0,
226,80 Shilling Scottish Ale,AMBER ALE,AMBER_ALE,2017.0,2,Primary continuation,67.0,67.0,10.0,
226,80 Shilling Scottish Ale,AMBER ALE,AMBER_ALE,2017.0,3,Secondary,36.0,36.0,14.0,
227,Spice Trade Brewing Sun Temple IPA,AMERICAN IPA,IPA,2017.0,1,Primary,68.0,72.0,0.0,
228,Lawson’s Sip of Sunshine IPA Clone,HAZY / NEW ENGLAND IPA,IPA,2017.0,1,Primary,65.0,68.0,4.0,
229,Sierra Nevada Celebration Ale (Version 2),AMERICAN IPA,IPA,2017.0,1,Primary,65.0,67.0,4.0,
230,Smoked Habanero IPA,IPA,IPA,2017.0,1,Primary,65.0,,14.0,
230,Smoked Habanero IPA,IPA,IPA,2017.0,2,Secondary,65.0,65.0,7.0,
231,Brighid’s Irish Red Ale,AMBER ALE,AMBER_ALE,2009.0,1,Primary,62.0,,7.0,
231,Brighid’s Irish Red Ale,AMBER ALE,AMBER_ALE,2009.0,2,Secondary,,,,
231,Brighid’s Irish Red Ale,AMBER ALE,AMBER_ALE,2009.0,3,Conditioning,,,14.0,
232,Fuller’s ESB Clone,ENGLISH PALE ALE,IPA,2006.0,1,Primary,65.0,65.0,30.0,
233,Klang Freudenfest Oktoberfest (Extract),OKTOBERFEST,OTHER,2017.0,1,Primary,52.0,52.0,14.0,
233,Klang Freudenfest Oktoberfest (Extract),OKTOBERFEST,OTHER,2017.0,2,Diacetyl Rest,57.0,59.0,3.0,
233,Klang Freudenfest Oktoberfest (Extract),OKTOBERFEST,OTHER,2017.0,3,Secondary,48.0,48.0,8.0,
233,Klang Freudenfest Oktoberfest (Extract),OKTOBERFEST,OTHER,2017.0,4,Cold Crash,33.0,33.0,16.0,
235,Battre L’oie Saison (Extract),BELGIAN ALE,BELGIAN,,1,primary,62.0,62.0,7.0,
235,Battre L’oie Saison (Extract),BELGIAN ALE,BELGIAN,,2,secondary,68.0,68.0,10.0,
236,Ommegang Abbey Clone,BELGIAN ALE,BELGIAN,2008.0,1,Primary,77.0,77.0,14.0,
237,Montezuma’s Revenge Mexican Dark Lager with Coffee,COFFEE BEER,OTHER,2010.0,1,Primary,65.0,,,
237,Montezuma’s Revenge Mexican Dark Lager with Coffee,COFFEE BEER,OTHER,2010.0,2,Secondary,65.0,,28.0,
238,Dirk Diggler New England Pale Ale,HAZY / NEW ENGLAND IPA,IPA,,1,Primary,68.0,68.0,21.0,
238,Dirk Diggler New England Pale Ale,HAZY / NEW ENGLAND IPA,IPA,,2,Dry Hop 1,,,3.0,
238,Dirk Diggler New England Pale Ale,HAZY / NEW ENGLAND IPA,IPA,,3,Dry Hop 2,,,4.0,
241,Harvest Ale Saison,BELGIAN ALE,BELGIAN,2008.0,1,Primary,,,,
242,Whale’s Tail Pale Ale,AMERICAN PALE ALE,IPA,,1,Primary,70.0,70.0,4.0,
244,Dogfish Head 120 Minute IPA,IPA,IPA,2005.0,1,Primary,72.0,,3.0,
244,Dogfish Head 120 Minute IPA,IPA,IPA,2005.0,2,Secondary,,,,
246,Gone But Not Forgotten Burton Old Ale,ENGLISH PALE ALE,IPA,2012.0,1,Primary,,,,
247,Christmas Cinderella Double Brown Ale,SPICE & HERB BEER,OTHER,1997.0,1,primary,64.0,64.0,10.0,
249,Ale of Asgard,BARLEYWINE,STRONG_ALE,,1,Primary,68.0,,,
250,Maltonator Doppelbock,BOCK,LAGER,2009.0,1,Primary,,,14.0,
251,Epic Stout,IMPERIAL STOUT,STOUT,2014.0,1,Primary,,,,
252,Julie: A Pumpkin Belgian Strong Ale,BELGIAN ALE,BELGIAN,2006.0,1,Primary,,,,
253,Ekuanot HBC 366 American Pale Ale,AMERICAN PALE ALE,IPA,,1,Primary,67.0,,14.0,
254,3 Floyds Alpha King Clone,AMERICAN PALE ALE,IPA,,1,Primary,68.0,68.0,5.0,
255,Sierra Nevada Bigfoot Barleywine,BARLEYWINE,STRONG_ALE,2006.0,1,Primary,68.0,68.0,,
255,Sierra Nevada Bigfoot Barleywine,BARLEYWINE,STRONG_ALE,2006.0,2,Secondary,68.0,68.0,14.0,
256,Sippin’ on the Dock of the Bay IPA,AMERICAN IPA,IPA,2009.0,1,Primary,68.0,,7.0,
257,Deschutes Chainbreaker White IPA Clone,IPA,IPA,2012.0,1,Primary,66.0,74.0,2.0,
258,Evil Twin,AMBER ALE,AMBER_ALE,2006.0,1,Primary,68.0,,14.0,
259,Russian River Blind Pig IPA Clone,IPA,IPA,2012.0,1,Primary,68.0,68.0,,
260,Victory Brewing Co. Prima Pils Clone,GERMAN PILSNER,LAGER,,1,Primary,50.0,50.0,14.0,
262,Kalyke Blonde,BELGIAN ALE,BELGIAN,2015.0,1,Primary,68.0,74.0,,
263,Summertime Ginger Ale,SPICE & HERB BEER,OTHER,,1,Primary,65.0,,5.0,
263,Summertime Ginger Ale,SPICE & HERB BEER,OTHER,,2,Secondary,65.0,,10.0,
264,LAB Coconut Porter,PORTER,PORTER,2013.0,1,Primary,68.0,68.0,14.0,
265,Jeff’s Untitled Dortmunder,HELLES,OTHER,2011.0,1,Primary,70.0,52.0,14.0,-1.43
265,Jeff’s Untitled Dortmunder,HELLES,OTHER,2011.0,2,Diacetyl Rest,52.0,65.0,2.0,6.5
265,Jeff’s Untitled Dortmunder,HELLES,OTHER,2011.0,3,Lagering,34.0,34.0,30.0,
266,Pickelhaube Märzen,AMBER LAGER,LAGER,,1,Primary,48.0,,,
266,Pickelhaube Märzen,AMBER LAGER,LAGER,,2,Diacetyl Rest,50.0,55.0,3.0,
266,Pickelhaube Märzen,AMBER LAGER,LAGER,,3,Lagering,35.0,,60.0,
267,Oskar Blues Dale’s Pale Ale,AMERICAN PALE ALE,IPA,2009.0,1,Primary,70.0,70.0,,
267,Oskar Blues Dale’s Pale Ale,AMERICAN PALE ALE,IPA,2009.0,2,Secondary,60.0,60.0,,
268,Odell IPA,AMERICAN IPA,IPA,2007.0,1,Primary,68.0,,,
268,Odell IPA,AMERICAN IPA,IPA,2007.0,2,Secondary,60.0,,7.0,
269,(512) Brewing Co. Pecan Porter,PORTER,PORTER,,1,Primary,68.0,68.0,14.0,
270,Sour Blonde with Apricot,BELGIAN ALE,BELGIAN,2015.0,1,Primary,68.0,68.0,,
270,Sour Blonde with Apricot,BELGIAN ALE,BELGIAN,2015.0,2,Secondary,62.0,62.0,8.0,
271,Founders Kentucky Breakfast Stout,Imperial Stout,STOUT,,1,Primary,65.0,65.0,14.0,
273,North Coast Old Rasputin Russian Imperial Stout Clone,IMPERIAL STOUT,STOUT,2007.0,1,Primary,68.0,,,
274,Gordon Biersch Winter Bock,BOCK,LAGER,2011.0,1,Primary,48.0,48.0,9.0,
274,Gordon Biersch Winter Bock,BOCK,LAGER,2011.0,2,Lower to fermentation temp,48.0,43.0,4.0,
274,Gordon Biersch Winter Bock,BOCK,LAGER,2011.0,3,Lagering 1,43.0,43.0,14.0,
274,Gordon Biersch Winter Bock,BOCK,LAGER,2011.0,4,Lagering 2,43.0,32.0,21.0,
276,Dark Winter Saison IV,BELGIAN ALE,BELGIAN,2014.0,1,Primary,75.0,,28.0,
276,Dark Winter Saison IV,BELGIAN ALE,BELGIAN,2014.0,2,Secondary,60.0,,180.0,
277,Green Flash West Coast IPA,AMERICAN IPA,IPA,2013.0,1,Primary,68.0,70.0,7.0,
278,Chodsko Pivo Bohemian Pilsner,CZECH / BOHO PILS,LAGER,2015.0,1,Open Fermentation,48.0,48.0,12.0,
278,Chodsko Pivo Bohemian Pilsner,CZECH / BOHO PILS,LAGER,2015.0,2,Rest,60.0,60.0,2.0,
278,Chodsko Pivo Bohemian Pilsner,CZECH / BOHO PILS,LAGER,2015.0,3,Lagering,33.0,33.0,30.0,
279,Lagunitas Brown Shugga’ Clone,BARLEYWINE,STRONG_ALE,,1,Primary,64.0,,,
280,Delirium Oat Rosemary Pale Ale Recipe,IPA,IPA,,1,Primary,70.0,70.0,7.0,
281,Alaskan Smoked Porter Clone,PORTER,PORTER,,1,Primary,65.0,70.0,7.0,
282,Left Hand Milk Stout Clone,STOUT,STOUT,,1,Primary,70.0,70.0,7.0,
282,Left Hand Milk Stout Clone,STOUT,STOUT,,2,Secondary,60.0,60.0,7.0,
283,Lagunitas Little Sumpin’ Sumpin’ Clone,AMERICAN PALE ALE,IPA,,1,Primary,67.0,,7.0,
284,Ardley Brown Ale,BROWN ALE,BROWN_ALE,2012.0,1,Primary,67.0,67.0,,
285,Charlie’s Brown Ale,BROWN ALE,BROWN_ALE,2013.0,1,Primary,68.0,68.0,14.0,
285,Charlie’s Brown Ale,BROWN ALE,BROWN_ALE,2013.0,2,Secondary,38.0,38.0,14.0,
286,Bonnie Prince Charlie’s 80/- Shilling,AMBER ALE,AMBER_ALE,2014.0,1,Primary,62.0,62.0,14.0,
286,Bonnie Prince Charlie’s 80/- Shilling,AMBER ALE,AMBER_ALE,2014.0,2,Secondary,36.0,36.0,14.0,
287,Deschutes’ Fresh Squeezed IPA Clone,AMERICAN IPA,IPA,,1,Primary,67.0,70.0,7.0,
288,Sierra Nevada Ruthless Rye Clone,IPA,IPA,2012.0,1,Primary,68.0,68.0,,
288,Sierra Nevada Ruthless Rye Clone,IPA,IPA,2012.0,2,Dry Hop,,,3.0,
290,Dogfish Head Raison D’Etre Clone,BELGIAN ALE,BELGIAN,,1,Primary,70.0,75.0,,
290,Dogfish Head Raison D’Etre Clone,BELGIAN ALE,BELGIAN,,2,Fermentation,70.0,75.0,,
291,Oh My Eye! Grapefruit Hefeweizen,FRUIT BEER,OTHER,2008.0,1,Primary,70.0,70.0,7.0,
291,Oh My Eye! Grapefruit Hefeweizen,FRUIT BEER,OTHER,2008.0,2,Secondary,70.0,70.0,3.0,
292,Gold,German Pilsner,LAGER,2015.0,1,Primary,52.0,52.0,27.0,
293,Isaac’s Standard Lager,AMERICAN LAGER,LAGER,2015.0,1,Primary,48.0,48.0,28.0,
293,Isaac’s Standard Lager,AMERICAN LAGER,LAGER,2015.0,2,Secondary,52.0,52.0,7.0,
293,Isaac’s Standard Lager,AMERICAN LAGER,LAGER,2015.0,3,Tertiary,56.0,56.0,7.0,
294,Vienna Lager,AMBER LAGER,LAGER,2015.0,1,Primary,48.0,48.0,14.0,
294,Vienna Lager,AMBER LAGER,LAGER,2015.0,2,Secondary,35.0,35.0,30.0,
294,Vienna Lager,AMBER LAGER,LAGER,2015.0,3,Tertiary,30.0,30.0,60.0,
295,May The Schwarz Be With You,DARK LAGER,LAGER,2015.0,1,Primary,48.0,48.0,14.0,
296,Saint Martin Doppel,BOCK,LAGER,2015.0,1,Primary,48.0,50.0,12.0,
296,Saint Martin Doppel,BOCK,LAGER,2015.0,2,Diacetyl rest,60.0,62.0,4.0,
296,Saint Martin Doppel,BOCK,LAGER,2015.0,3, lagering,32.0,34.0,84.0,
297,Cream of the Crop,Cream Ale,BLONDE_PALE,2015.0,1,Primary,65.0,65.0,14.0,
298,Gate Keeper,AMBER LAGER,LAGER,2015.0,1,Primary,62.0,62.0,21.0,
298,Gate Keeper,AMBER LAGER,LAGER,2015.0,2,Secondary,35.0,35.0,21.0,
299,Ordinarily Bitter,ENGLISH PALE ALE,IPA,2015.0,1,Primary,62.0,,7.0,
300,3 Angels Kilt Lifter,AMBER ALE,AMBER_ALE,2015.0,1,Primary,68.0,68.0,90.0,
301,Prenup Pale Ale,AMERICAN PALE ALE,IPA,2015.0,1,Primary,68.0,68.0,14.0,
302,Kerry’s Session Mild,BROWN ALE,BROWN_ALE,2015.0,1,Primary,68.0,68.0,14.0,
303,Dyson’s Chocolate Porter,AMERICAN PORTER,PORTER,2015.0,1,Primary,65.0,65.0,14.0,
303,Dyson’s Chocolate Porter,AMERICAN PORTER,PORTER,2015.0,2,Secondary,65.0,65.0,40.0,
304,Spokonoy Nochi 13,IMPERIAL STOUT,STOUT,2015.0,1,Primary,64.0,70.0,14.0,
305,Over The Top 7 Hop IPA,AMERICAN IPA,IPA,2015.0,1,Primary,65.0,65.0,7.0,
305,Over The Top 7 Hop IPA,AMERICAN IPA,IPA,2015.0,2,Secondary,65.0,65.0,14.0,
306,Weize-Ass Bock,BOCK,LAGER,2015.0,1,Primary,66.0,,4.0,
306,Weize-Ass Bock,BOCK,LAGER,2015.0,2,Secondary,70.0,,7.0,
307,Raspberry Flanders,FLANDERS RED,OTHER,2015.0,1,Primary,66.5,66.5,5.0,
307,Raspberry Flanders,FLANDERS RED,OTHER,2015.0,2,Secondary,66.5,66.5,455.0,
307,Raspberry Flanders,FLANDERS RED,OTHER,2015.0,3,Tertiary,66.5,66.5,42.0,
308,Oskar’s Gueuze,GUEUZE,OTHER,2015.0,1,Primary Fermentation,70.0,70.0,60.0,
309,Tridevils Tripel T’s,BELGIAN ALE,BELGIAN,2015.0,1,Primary,67.0,67.0,2.0,
309,Tridevils Tripel T’s,BELGIAN ALE,BELGIAN,2015.0,2,Secondary,74.0,74.0,7.0,
310,Merica F%#K Yeah!,BARLEYWINE,STRONG_ALE,2015.0,1,Primary,64.0,64.0,21.0,
310,Merica F%#K Yeah!,BARLEYWINE,STRONG_ALE,2015.0,2,Secondary,60.0,60.0,100.0,
311,Raspberry Tart,ENGLISH PALE ALE,IPA,2015.0,1,Primary,65.0,65.0,4.0,
311,Raspberry Tart,ENGLISH PALE ALE,IPA,2015.0,2,Secondary,68.0,68.0,21.0,
312,Mark’s Chipotle Lichtenhainer,HISTORICAL BEER,OTHER,2015.0,1,primary,90.0,90.0,21.0,
312,Mark’s Chipotle Lichtenhainer,HISTORICAL BEER,OTHER,2015.0,2,secondary,68.0,68.0,156.0,
312,Mark’s Chipotle Lichtenhainer,HISTORICAL BEER,OTHER,2015.0,3,tertiary,68.0,68.0,7.0,
313,Whales BBDS (Blended Belgian Dark Strong),BELGIAN ALE,BELGIAN,2015.0,1,Primary,68.0,68.0,35.0,
313,Whales BBDS (Blended Belgian Dark Strong),BELGIAN ALE,BELGIAN,2015.0,2,Secondary in bourbon barrel,68.0,68.0,203.0,
314,Citra Session IPA,AMERICAN IPA,IPA,2015.0,1,Primary,62.0,66.0,7.0,
314,Citra Session IPA,AMERICAN IPA,IPA,2015.0,2,Secondary,66.0,66.0,7.0,
316,Gunnawanna ‘Toberfest,PALE LAGER,LAGER,2015.0,1,Primary,55.0,55.0,7.0,
317,San Diego Dark Session Ale,BROWN ALE,BROWN_ALE,,1,Primary,68.0,68.0,5.0,
317,San Diego Dark Session Ale,BROWN ALE,BROWN_ALE,,2,Secondary,68.0,68.0,7.0,
317,San Diego Dark Session Ale,BROWN ALE,BROWN_ALE,,3,Dry Hop,68.0,68.0,7.0,
318,The Bruery’s Black Orchard Wit,BELGIAN ALE,BELGIAN,2009.0,1,Primary,66.0,,7.0,
319,The Tsar’s Kvass,HISTORICAL BEER,OTHER,,1,Primary,65.0,65.0,,
320,Czeslaw Dzielak’s Imperial IPA,IMPERIAL / DOUBLE IPA,IPA,2015.0,1,Primary,66.0,70.0,8.0,
320,Czeslaw Dzielak’s Imperial IPA,IMPERIAL / DOUBLE IPA,IPA,2015.0,2,Secondary (dry hop),54.0,54.0,6.0,
321,Russian River Pliny the Elder Clone,AMERICAN IPA,IPA,,1,Primary,67.0,67.0,,
322,Firestone Walker Wookey Jack Clone,IPA,IPA,2014.0,1,Primary,62.0,62.0,10.0,
323,Deschutes Black Butte Porter Clone,AMERICAN PORTER,PORTER,,1,Primary,65.0,65.0,14.0,
324,Dogfish Head 90 Minute IPA Clone,IMPERIAL / DOUBLE IPA,IPA,,1,Primary,72.0,,,
325,Bastage English Summer Ale,BLONDE ALE,BLONDE_PALE,2011.0,1,Primary,65.0,65.0,,
327,Matt’s Sour Brown,BROWN ALE,BROWN_ALE,2011.0,1,Primary,68.0,68.0,,
328,2015 Big Brew Recipe #3: Killer Kölsch,HYBRID BEER,OTHER,2015.0,1,Primary,58.0,68.0,4.0,
328,2015 Big Brew Recipe #3: Killer Kölsch,HYBRID BEER,OTHER,2015.0,2,Lager,40.0,40.0,60.0,
329,Dollar to Döllnitz Gose,HISTORICAL BEER,OTHER,2015.0,1,Primary,68.0,68.0,14.0,
330,Dan’s Märzen,AMBER LAGER,LAGER,2011.0,1,Fermentation,48.0,43.0,4.0,
330,Dan’s Märzen,AMBER LAGER,LAGER,2011.0,2,Lagering,43.0,32.0,42.0,-1.0
332,Pagosa’s Shreddin’ Red IPA Clone,AMERICAN IPA,IPA,,1,Primary,68.0,68.0,,
333,Newcastle Brown Ale Clone,BROWN ALE,BROWN_ALE,2001.0,1,Primary,64.0,,,
335,Valymber Strong Bitter,ENGLISH PALE ALE,IPA,2002.0,1,Primary at 66\u00b0F,66.0,,10.0,
335,Valymber Strong Bitter,ENGLISH PALE ALE,IPA,2002.0,2,Secondary at 36\u00b0F,36.0,,40.0,
336,Stout Trousers,AMERICAN STOUT,STOUT,2009.0,1,Primary,64.0,66.0,1.0,
336,Stout Trousers,AMERICAN STOUT,STOUT,2009.0,2,Secondary/Conditioning,66.0,70.0,7.0,
336,Stout Trousers,AMERICAN STOUT,STOUT,2009.0,3,Cold Crash,70.0,40.0,2.0,
337,Sweet Mischief Vienna-Mild,AMBER LAGER,LAGER,2012.0,1,Primary,55.0,,7.0,
337,Sweet Mischief Vienna-Mild,AMBER LAGER,LAGER,2012.0,2,Secondary,35.0,,21.0,
338,Düsseldorf Altbier,ALTBIER,OTHER,2009.0,1,Primary,65.0,68.0,7.0,
338,Düsseldorf Altbier,ALTBIER,OTHER,2009.0,2,Secondary,65.0,65.0,7.0,
339,Jabberwocky Maibock,BOCK,LAGER,2004.0,1,Primary,55.0,,7.0,
339,Jabberwocky Maibock,BOCK,LAGER,2004.0,2,lager,35.0,,21.0,
340,Better Red Than Dead,AMBER ALE,AMBER_ALE,2009.0,1,Primary,65.0,68.0,14.0,
341,American Malt Liquor (Olde English Clone),AMERICAN LAGER,LAGER,,1,Primary,55.0,55.0,4.0,
341,American Malt Liquor (Olde English Clone),AMERICAN LAGER,LAGER,,2,Secondary,50.0,50.0,14.0,
342,Black is Back,BELGIAN ALE,BELGIAN,2013.0,1,Primary,,,,
343,Yak & Yeti’s Chai Milk Stout Clone,SPICE & HERB BEER,OTHER,2013.0,1,Primary,68.0,68.0,7.0,
344,Ruabeoir Red Ale,AMBER ALE,AMBER_ALE,,1,Primary,66.0,66.0,,
345,Hop Hammer,IMPERIAL / DOUBLE IPA,IPA,,1,Primary,67.0,70.0,7.0,
345,Hop Hammer,IMPERIAL / DOUBLE IPA,IPA,,2,Secondary,70.0,,3.0,
345,Hop Hammer,IMPERIAL / DOUBLE IPA,IPA,,3,Dry Hop,,,7.0,
347,Belgian Bombshell,BELGIAN ALE,BELGIAN,2009.0,1,Primary,66.0,70.0,7.0,
