recipe_id,recipe_title,style,year,Ca_ppm,Mg_ppm,Na_ppm,Cl_ppm,SO4_ppm,HCO3_ppm,water_description,SO4_Cl_ratio
276,Dark Winter Saison IV,BELGIAN ALE,2014.0,,,,,,,,
277,Green Flash West Coast IPA,AMERICAN IPA,2013.0,,,,,,,Water profile similar to Burton-Upon-Trent with roughly half mineral content,
278,Chodsko Pivo Bohemian Pilsner,CZECH / BOHO PILS,2015.0,,,,,,,,
279,Lagunitas Brown Shugga’ Clone,BARLEYWINE,,,,,,,,Use carbon-filtered tap water. Adjust water with gypsum in mash.,
280,Delirium Oat Rosemary Pale Ale Recipe,IPA,,,,,,,,,
281,Alaskan Smoked Porter Clone,PORTER,,,,,,,,,
282,Left Hand Milk Stout Clone,STOUT,,,,,,,,,
283,Lagunitas Little Sumpin’ Sumpin’ Clone,AMERICAN PALE ALE,,,,,,,,,
284,Ardley Brown Ale,BROWN ALE,2012.0,,,,,,,,
285,Charlie’s Brown Ale,BROWN ALE,2013.0,575.0,,,482.0,715.0,,Reverse osmosis water with 1/2 tsp gypsum and 1 tsp calcium chloride per 5 gallons.,1.483402489626556
286,Bonnie Prince Charlie’s 80/- Shilling,AMBER ALE,2014.0,,,,,,,,
287,Deschutes’ Fresh Squeezed IPA Clone,AMERICAN IPA,,,,,,,,,
288,Sierra Nevada Ruthless Rye Clone,IPA,2012.0,,,,,,,,
289,Ugly Pug Schwarzbier Clone,DARK LAGER,2010.0,,,,,,,,
290,Dogfish Head Raison D’Etre Clone,BELGIAN ALE,,,,,,,,,
291,Oh My Eye! Grapefruit Hefeweizen,FRUIT BEER,2008.0,,,,,,,,
292,Gold,German Pilsner,2015.0,,,,,,,"Untreated Olympia artesian well water—""It’s the water!""",
293,Isaac’s Standard Lager,AMERICAN LAGER,2015.0,,,,,,,"50% filtered tap water, 50% distilled water",
294,Vienna Lager,AMBER LAGER,2015.0,,,,,,,,
295,May The Schwarz Be With You,DARK LAGER,2015.0,,,,,,,,
296,Saint Martin Doppel,BOCK,2015.0,,,,,,,"Aim for close to Munich, Germany.",
297,Cream of the Crop,Cream Ale,2015.0,,,,,,,,
298,Gate Keeper,AMBER LAGER,2015.0,,,,,,,not specified,
299,Ordinarily Bitter,ENGLISH PALE ALE,2015.0,,,,,,,,
300,3 Angels Kilt Lifter,AMBER ALE,2015.0,,,,,,,,
301,Prenup Pale Ale,AMERICAN PALE ALE,2015.0,,,,,,,,
302,Kerry’s Session Mild,BROWN ALE,2015.0,,,,,,,,
303,Dyson’s Chocolate Porter,AMERICAN PORTER,2015.0,,,,,,,"Clean, filtered water",
304,Spokonoy Nochi 13,IMPERIAL STOUT,2015.0,,,,,,,Very soft water,
305,Over The Top 7 Hop IPA,AMERICAN IPA,2015.0,1220.0,,,,2860.0,,Filtered Chicago tap water,
306,Weize-Ass Bock,BOCK,2015.0,,,,,,,,
307,Raspberry Flanders,FLANDERS RED,2015.0,,,,,,,,
308,Oskar’s Gueuze,GUEUZE,2015.0,,,,,,,,
309,Tridevils Tripel T’s,BELGIAN ALE,2015.0,,,,,,,Eldorado Springs water,
310,Merica F%#K Yeah!,BARLEYWINE,2015.0,,,,,,,Water used for mash and boil; total volume approximately 14 gallons before boil reduction,
311,Raspberry Tart,ENGLISH PALE ALE,2015.0,,,,,,,RO mash water with 10 g calcium chloride and 2.5 ml lactic acid,
312,Mark’s Chipotle Lichtenhainer,HISTORICAL BEER,2015.0,,,,,,,"Mash water with 1g gypsum, 1g calcium chloride and 1.25 ml lactic acid, and sparge water with 1.0 ml lactic acid.",
313,Whales BBDS (Blended Belgian Dark Strong),BELGIAN ALE,2015.0,,,,,,,"Water treated with calcium carbonate, calcium sulfate, and calcium chloride to reach pH 5.4 at room temperature.",
314,Citra Session IPA,AMERICAN IPA,2015.0,,,,,,,,
315,J-Lo & Chew-zacca’s Wild Ride Pale Ale,AMERICAN PALE ALE,,,,,,,,,
316,Gunnawanna ‘Toberfest,PALE LAGER,2015.0,,,,,,,,
317,San Diego Dark Session Ale,BROWN ALE,,,,,,,,,
318,The Bruery’s Black Orchard Wit,BELGIAN ALE,2009.0,,,,,,,,
319,The Tsar’s Kvass,HISTORICAL BEER,,,,,,,,,
320,Czeslaw Dzielak’s Imperial IPA,IMPERIAL / DOUBLE IPA,2015.0,,,,,,,,
321,Russian River Pliny the Elder Clone,AMERICAN IPA,,,,,,,,,
322,Firestone Walker Wookey Jack Clone,IPA,2014.0,,,,,,,,
323,Deschutes Black Butte Porter Clone,AMERICAN PORTER,,,,,,,,,
324,Dogfish Head 90 Minute IPA Clone,IMPERIAL / DOUBLE IPA,,,,,,,,,
325,Bastage English Summer Ale,BLONDE ALE,2011.0,,,,,,,,
326,Nazz Session IPA,AMERICAN IPA,,,,,,,,,
327,Matt’s Sour Brown,BROWN ALE,2011.0,,,,,,,,
328,2015 Big Brew Recipe #3: Killer Kölsch,HYBRID BEER,2015.0,207.69230769230768,,,370.7692307692307,,,Reverse osmosis water treated with 1/4 tsp 10% phosphoric acid per 5 gallons,
329,Dollar to Döllnitz Gose,HISTORICAL BEER,2015.0,,,709.0909090909091,1145.4545454545455,,,Reverse-osmosis or activated charcoal filtered water,
330,Dan’s Märzen,AMBER LAGER,2011.0,,,,,,,,
331,Ryed Hard American Rye Ale,AMERICAN PALE ALE,2010.0,,,,,,,,
332,Pagosa’s Shreddin’ Red IPA Clone,AMERICAN IPA,,,,,,,,,
333,Newcastle Brown Ale Clone,BROWN ALE,2001.0,,,,,,,,
334,My Smoked Dark Heart Lager,DARK LAGER,2009.0,,,,,,,,
335,Valymber Strong Bitter,ENGLISH PALE ALE,2002.0,,,,,,,,
336,Stout Trousers,AMERICAN STOUT,2009.0,,,,,,,,
337,Sweet Mischief Vienna-Mild,AMBER LAGER,2012.0,,,,,,,,
338,Düsseldorf Altbier,ALTBIER,2009.0,,,,,,,,
339,Jabberwocky Maibock,BOCK,2004.0,,,,,,,,
340,Better Red Than Dead,AMBER ALE,2009.0,,,,,,,Use 16 quarts (15.1 liters) of 164°F (73°C) water for mash.,
341,American Malt Liquor (Olde English Clone),AMERICAN LAGER,,,,,,,,,
342,Black is Back,BELGIAN ALE,2013.0,,,,,,,,
343,Yak & Yeti’s Chai Milk Stout Clone,SPICE & HERB BEER,2013.0,,,,,,,,
344,Ruabeoir Red Ale,AMBER ALE,,,,,,,,,
345,Hop Hammer,IMPERIAL / DOUBLE IPA,,,,,,,,,
346,Doktor Schnurrbart Schwarzbier,DARK LAGER,,,,,,,,,
347,Belgian Bombshell,BELGIAN ALE,2009.0,,,,,,,,
348,Victory and Chaos IPA,ENGLISH IPA,,,,,,,,,
349,Polka Dot Pilsner,GERMAN PILSNER,,,,,,,,,
350,ZAITH Weizen,HEFEWEIZEN,,,,,,,,,
351,Falconclaws (Samichlaus),BOCK,,,,,,,,,
352,Belgian IPA,BELGIAN ALE,2011.0,,,,,,,,
353,"I’m Not Bitter, I’m Thirsty!",ENGLISH PALE ALE,,,,,,,,,
354,Weizenbock,BOCK,,,,,,,,,
355,Hoppiness is an IPA,AMERICAN IPA,,,,,,,,,
356,Yellow Diamond Belgian Pale Ale,BELGIAN ALE,,,,,,,,,
357,Uncommonly Lucky,AMBER LAGER,,,,,,,,,
358,Hibiscus Mango Blonde,BLONDE ALE,2012.0,,,,,,,,
359,Classic American Pilsner,PILSNER,2012.0,100.0,20.0,20.0,115.0,150.0,60.0,Water profile for mash and sparge,1.3043478260869565
360,Orpheo Roja (Chimay Red Clone),BELGIAN ALE,2000.0,,,,,,,"Use soft brewing water, acidified slightly if possible.",
361,Licorice Ale,HISTORICAL BEER,,,,,,,,Water for brewing,
362,Rogue Dead Guy Ale Clone,BOCK,2003.0,,,,,,,,
363,Weisse Not?,BERLINER WEISSE,2012.0,,,,,,,,
364,Not-So Pilsener,PILSNER,2005.0,,,,,,,,
365,Baltic Porter,BALTIC PORTER,2006.0,,,,,,,not explicitly specified,
366,Nirvana Chanterelle Ale,SPICE & HERB BEER,,,,,,,,,
367,Sticke Alt,ALTBIER,,,,,,,,,
368,Quarter Session Bitter,ENGLISH PALE ALE,,,,,,,,,
369,Lampo Bianco (White Lightning),BELGIAN ALE,2012.0,,,,,,,,
370,100% Brettanomyces Farmhouse,FARMHOUSE BEER,2012.0,,,,,,,,
371,Caribbean Stout,FOREIGN / TROPICAL STOUT,,,,,,,,,
372,Smoked Robust Porter,PORTER,,,,,,,,,
373,So Very Cherry White,BELGIAN ALE,2011.0,,,,,,,,
374,Pliny the Toddler,AMERICAN IPA,2011.0,,,,,,,,
375,McZainasheff’s Wee,AMBER ALE,,,,,,,,,
376,Belgian Golden Strong Ale,BELGIAN ALE,2009.0,,,,,,,,
377,Griffin Spit IPA,Imperial / Double IPA,2007.0,,,,,,,,
378,Munich Madness,AMBER LAGER,,,,,,,,,
379,Carla’s Oat Brown Ale,BROWN ALE,2010.0,,,,,,,,
380,Dubbel Trouble,BELGIAN ALE,2009.0,,,,,,,,
381,English Pale Ale,ENGLISH PALE ALE,2011.0,,,,,,,,
382,Passionfruit-Mango Wildfire Wheat,AMERICAN WHEAT,2010.0,,,,,,,,
383,Bohemian Thriller,CZECH / BOHO PILS,2010.0,,,,,,,,
384,Rocket Rod Romanak’s Positively Porter,BALTIC PORTER,,,,,,,,,
385,American Barleywine,BARLEYWINE,,,,,,,,,
386,Maibock,BOCK,2002.0,,,,,,,,
387,Irish Red Ale,AMBER ALE,,,,,,,,,
388,Munich Helles,HELLES,,,,,,,,Water used in mash and sparge,
389,Big Black’s Revenge,DARK LAGER,,,,,,,,,
390,Hailbrau Dopplebock,BOCK,,,,,,,,,
391,Danny’s Bock,BOCK,2009.0,,,,,,,,
392,Scott’s Scottish Heavy,AMBER ALE,2009.0,,,,,,,,
393,Ms. Helen’s Peche Passion,FRUIT BEER,2009.0,,,,,,,,
394,Phil’s Belgian Dubbel,BELGIAN ALE,2009.0,,,,,,,,
395,Strike Team Chanukah Altbier,ALTBIER,2006.0,,,,,,,,
396,Hot Chihuahua,Blonde Ale,2005.0,,,,,,,,
397,A Day in Vienna (Vienna Lager),VIENNA LAGER,2023.0,98.0,10.0,80.0,150.0,160.0,96.0,RO water,1.0666666666666667
398,Rainforest Dark Sweet Stout,SWEET / MILK STOUT,,69.0,25.0,13.0,5.0,15.0,,"Ca 69 ppm, Mg 25 ppm, Na 13 ppm, Cl 5 ppm, SO4 15 ppm",3.0
399,The Induction IPA,SPECIALTY IPA,2023.0,97.0,12.0,0.0,76.0,184.0,,"Use RO water and adjust with CaSO4, CaCl, MgSO4, and acidulated malt.",2.4210526315789473
400,Degobah Dunkel,DARK LAGER,2024.0,,,,,,,,
401,Jabba Juice Hazy IPA,HAZY / NEW ENGLAND IPA,2024.0,,,,,,,,
402,Critter Milk Stout,STOUT,2023.0,62.0,13.0,50.0,85.0,100.0,119.0,"Ca 62 ppm, Mg 13 ppm, Na 50 ppm, Cl 85 ppm, SO4 100 ppm, HCO3 119 ppm",1.1764705882352942
403,SFB 21 Wild Ale,WILD ALE,2023.0,,,,,,,,
404,Bière Vide Lambic,SOUR ALE,2023.0,,,,,,,,
405,Mark3 Australian Sparkling Ale,PALE ALE,2023.0,60.99999999999999,,39.0,62.99999999999999,143.0,,"Carbon filtered water treated with 0.75 g/gal gypsum, 0.75 g/gal Epsom salt, and 0.25 g/gal sodium chloride",2.26984126984127
406,The Most Gluggable Czech Dark Lager,DARK LAGER,2023.0,53.0,12.0,50.0,84.0,82.0,,"Ca 53 ppm, Mg 12 ppm, Na 50 ppm, Cl 84 ppm, SO4 82 ppm",0.9761904761904762
407,A Mild Case Dark Mild,MILD,2023.0,,,,,,,,
408,Cliftyfest Festbier,FESTBIER,2023.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ca 30 ppm, Mg 12 ppm, Na 30 ppm, Cl 50 ppm, SO4 50 ppm, HCO3 84 ppm",
409,Zecks Panther Dunkles Bock,BOCK,2023.0,64.0,2.0,30.0,102.0,72.0,8.0,"Ca 64 ppm, Mg 2 ppm, Na 30 ppm, Cl 102 ppm, SO4 72 ppm, HCO3 8 ppm",0.7058823529411765
410,Maxwell Porter,ENGLISH PORTER,2023.0,77.0,12.0,26.0,78.0,43.0,162.0,Chicago-area Lake Michigan water,0.5512820512820513
411,Pumpkin Pie Ale,PUMPKIN BEER,2023.0,50.0,7.0,12.0,55.0,55.0,23.0,Targeted water profile with mineral levels,1.0
412,Baltischer Baltic Porter,BALTIC PORTER,2023.0,91.0,13.0,11.0,6.0,1.0,92.0,"Ca 91 ppm, Mg 13 ppm, Na 11 ppm, Cl 6 ppm, SO4 1 ppm, HCO3 92 ppm",0.16666666666666666
413,MI Blonde Baby (Blonde Ale),BLONDE ALE,2023.0,75.0,15.0,0.0,71.0,143.0,,"Ca 75 ppm, Mg 15 ppm, Na 0 ppm, Cl 71 ppm, SO4 143 ppm",2.0140845070422535
414,Sable Porter (2023 version),AMERICAN PORTER,2023.0,62.5,5.0,389.70000000000005,75.0,86.25,115.0,RO water (pH 7) with mineral adjustments,1.15
415,Goats in a Tree in a Mezcal Barrel,WOOD-AGED BEER,2023.0,81.0,,13.0,88.0,77.0,33.0,,0.875
416,Like Falling Off a Bike IPA,AMERICAN IPA,2023.0,50.0,10.0,10.0,50.0,100.0,,"Ca 50 ppm, Mg 10 ppm, Na 10 ppm, Cl 50 ppm, SO4 100 ppm",2.0
417,Between 18 and 50 Ryezenbock,BOCK,2023.0,65.0,1.0,2.0,96.0,32.0,,"Ca 65 ppm, Mg 1 ppm, Na 2 ppm, Cl 96 ppm, SO4 32 ppm",0.3333333333333333
418,British Mats Irish Red Ale,IRISH RED ALE,2023.0,60.0,5.0,10.0,95.0,55.0,,RO water,0.5789473684210527
419,XXM (Double Extra Medium) Hazy IPA,HAZY / NEW ENGLAND IPA,2023.0,82.0,3.0,33.0,150.0,74.0,,"Ca 82 ppm, Mg 3 ppm, Na 33 ppm, Cl 150 ppm, SO4 74 ppm",0.49333333333333335
420,Big Blimp! American Barleywine,BARLEYWINE,2023.0,5.0,42.0,60.0,80.0,,,"Ca 5 ppm, Mg 42 ppm, Na 60 ppm, Cl 80 ppm",
421,3 Day Berliner Weisse,SOUR ALE,2023.0,,,,,,,NYC tap water,
422,Saw Down Unda (New Zealand-style Pilsner),PILSNER,2023.0,91.4,5.0,8.0,61.3,96.0,77.0,"Calcium: 91.4 ppm, Magnesium: 5.0 ppm, Sodium: 8.0 ppm, Sulfate: 96.0 ppm, Chloride: 61.3 ppm, Bicarbonate: 77.0 ppm",1.566068515497553
423,Your First SMaSH Ale,PALE ALE,2023.0,,,,,,,Water for mashing and sparging,
424,Chicken Scratch Cream Ale,PALE LAGER,2023.0,80.0,5.0,25.0,75.0,80.0,100.0,"Ca 80 ppm, Mg 5 ppm, Na 25 ppm, Cl 75 ppm, SO4 80 ppm, HCO3 100 ppm",1.0666666666666667
425,Nick’s Munich Lager,AMBER LAGER,2023.0,50.0,4.0,17.0,79.0,65.0,,Water profile based on ppm levels,0.8227848101265823
426,One-To-One American IPA,AMERICAN IPA,2023.0,140.0,,,140.0,140.0,,"140 ppm Calcium, 140 ppm Sulfate, 140 ppm Chloride",1.0
427,Dunkeles Meisterwerk Munich Dunkel,MUNICH DUNKEL,2023.0,83.0,4.0,26.0,14.0,14.0,190.0,"Water with mineral content: Ca 83, Mg 4, Na 26, Sulfate 14, Cl 14, Bicarb 190",1.0
428,Now That’s What I Call Hazy! Vol. 1,IPA,2023.0,100.0,18.0,16.0,150.0,50.0,,3:1 chloride to sulfate,0.3333333333333333
429,LILO’s Lager (New Zealand Pilsner),PILSNER,2023.0,144.0,,,257.06666666666666,,,Carbon-filtered house water,
430,Inspired by a President (Russian Imperial Stout),IMPERIAL STOUT,2023.0,,,,,,,Hard city tap water; allowed to rest for 24 hours to eliminate chlorine and ammonia.,
431,Doctor Dark (International Dark Lager),DARK LAGER,2023.0,1.38,,,,,,Distilled water,
432,Alt Ale Altbier,ALTBIER,2022.0,,,,,,,,
433,Kaltrauch Rauchbier,RAUCHBIER,2022.0,65.0,7.0,20.0,120.0,75.0,100.0,Achieve profile by adding to 8 gal. (36.4 L) of reverse osmosis water,0.625
434,Tree House Brewing Company Julius,HAZY / NEW ENGLAND IPA,2019.0,15.0,26.0,78.0,120.0,140.0,,"Reverse osmosis water with NaCl, CaCl, MgSO4 to achieve target profile: Ca 15 ppm, Mg 26 ppm, S04 140 ppm, Na 78 ppm, Cl 120 ppm",1.1666666666666667
435,Len’s American Light Lager,PALE LAGER,2022.0,34.0,10.0,3.0,35.0,75.0,16.0,Water profile,2.142857142857143
436,Return of the Jedi Pale Ale,AMERICAN PALE ALE,2024.0,,,,,,,,
437,The Empire Strikes Back Dark Ale,PALE ALE,2024.0,,,,,,,,
438,A New Hope Pale Ale,PALE ALE,1977.0,,,,,,,,
439,Rye Edition: Any Porter in a Storm,AMERICAN PORTER,2021.0,68.87755102040815,,,122.95918367346937,,,Filtered water plus 2 tsp. CaCl₂ per 10 gal.,
440,Whiplash Slow Life Dry Irish Stout,STOUT,2023.0,,,,,,,,
441,Monk’s Ration Trappist-style Single,BELGIAN ALE,2023.0,24.0,4.0,16.0,40.0,40.0,16.0,"Ca 24 ppm, Mg 4 ppm, Na 16 ppm, Cl 40 ppm, SO4 40 ppm, HCO3 16 ppm",1.0
442,1904 American Sparkling Ale,HISTORICAL BEER,2023.0,50.0,10.0,15.0,63.0,75.0,40.0,"Ca 50 ppm, Mg 10 ppm, Na 15 ppm, SO4 75 ppm, Cl 63 ppm, HCO3 40 ppm",1.1904761904761905
443,Powerful Pils,GERMAN PILSNER,2023.0,94.0,14.0,69.0,124.0,202.0,,"Municipal water treated, specifics for mineral ppm not explicitly listed in the data, but targets inferred from ppm values.",1.6290322580645162
444,I Left Rome Trappist Single,BELGIAN ALE,2022.0,57.0,4.0,10.0,30.0,90.0,65.0,Water profile with ppm values,3.0
445,Domo Arigato (Hoppy Japanese-style Rice Lager),PALE LAGER,2022.0,50.0,10.0,10.0,40.0,60.0,,"Ca 50 ppm, Mg < 10 ppm, Na < 10 ppm, SO₄ 60 ppm, Cl 40 ppm, HCO₃ < 10 ppm",1.5
446,Bush Telly Modern Australian Sparkling Ale,PALE ALE,2022.0,,,,,75.0,10.0,"Ca ≥ 50 ppm, Mg ≤ 10 ppm, Na ≤ 10 ppm, SO4 ≈ 75 ppm, Cl ≈ 50 ppm, HCO3 ≤ 10 ppm",
447,Blade Runner Szechuan Pepper Beer,SPICE & HERB BEER,2022.0,,,,,,,,
448,‘It Goes to 11’ Stout,STOUT,2022.0,,,,,,,,
449,"Soet Bier, 1683",HISTORICAL BEER,2022.0,,,,,,,,
450,Hello Darkness Dry Oat Stout,STOUT,2022.0,35.0,8.0,46.0,77.0,21.0,90.0,Kilkenny water profile,0.2727272727272727
451,She Fancies Herself a Litte Bit French,SAISON,2022.0,,,,,,,"Denver water treated with Campden tablets, continuous sparge at 170°F to lower body",
452,Lou Pep Pep Wild Beer with Peaches,FRUIT BEER,2022.0,50.0,4.0,10.0,47.0,50.0,65.0,"50 ppm Ca, 4 ppm Mg, 10 ppm Na, 47 ppm Cl, 50 ppm SO4, 65 ppm HCO3.",1.0638297872340425
453,Eis Eis Baby Wood-Aged Beer,WOOD-AGED BEER,2022.0,,,,,,,,
454,Lichten My Hiney Lichtenhainer,SMOKE BEER,2022.0,,,,,,,,
455,"Sterling, Cooper, Draper, Santa (Winter Seasonal)",Winter Warmer,2022.0,,,,,,,,
456,Chipotle Lichtenhainer,SPICE & HERB BEER,2022.0,78.0,13.0,21.0,103.0,103.0,,Natural water profile with specified ppm levels,1.0
457,Andanzas – Sangue de Dragão Fruit Beer,FRUIT BEER,2022.0,75.0,10.0,0.0,75.0,75.0,0.0,Stated with specific PPM levels,1.0
458,Adventure Time Gose,GOSE,2022.0,395.0,,,160.66666666666669,715.0,,Distilled water with 2 g calcium chloride and 3 g gypsum,4.450207468879667
459,Concrete Bicycle Belgian Golden Strong Ale,BELGIAN GOLDEN STRONG ALE,2022.0,42.0,4.0,0.0,47.0,51.0,0.0,"Water profile with 42 ppm Ca, 4 ppm Mg, 0 ppm Na, 47 ppm Cl, 51 ppm SO4, 0 ppm HCO3.",1.0851063829787233
460,Arcane Alchemy Saison,SAISON,2022.0,50.0,0.0,25.0,90.0,45.0,0.0,Water with specific PPM levels,0.5
461,Polk County Stout,Imperial Stout,2022.0,,,,,,,,
462,Seventh Coalition English Barley Wine,BARLEYWINE,2022.0,73.0,21.0,18.0,33.0,33.0,211.0,"Zionsville city water cleared of chlorine, varying details, likely unadjusted",1.0
463,T-Bock,BOCK,2022.0,220.0,22.0,16.0,69.0,60.0,290.0,"Water with 220 ppm Ca, 22 ppm Mg, 16 ppm Na, 69 ppm Cl, 60 ppm SO4, 290 ppm HCO3.",0.8695652173913043
464,Contrived Spontaneity Wheatwine,WHEAT & RYE BEER,2022.0,49.0,2.0,23.0,61.0,50.0,58.0,"49 ppm Ca, 2 ppm Mg, 23 ppm Na, 61 ppm Cl, 50 ppm SO4, 58 ppm HCO3.",0.819672131147541
465,Hanella Hazy IPA,HAZY / NEW ENGLAND IPA,2022.0,,,,,,,Use brewing water with a 3:1 chloride to sulfate ratio.,
466,Go Bigger IPA,SPECIALTY IPA,2022.0,,,,,,,built from reverse osmosis to an IPA profile.,
467,NELSON! American IPA,AMERICAN IPA,2022.0,100.0,18.0,20.0,40.0,260.0,38.0,"Water with 100 ppm Ca, 18 ppm Mg, 20 ppm Na, 40 ppm Cl, 260 ppm SO4, 38 ppm HCO3.",6.5
468,KAW Porter,AMERICAN PORTER,2022.0,119.0,0.0,8.0,154.0,81.0,16.0,"119 ppm Ca, 0 ppm Mg, 8 ppm Na, 154 ppm Cl, 81 ppm SO4, 16 ppm HCO3.",0.525974025974026
469,Paul’s Irish Extra Stout,IRISH STOUT,2022.0,120.0,4.0,12.0,55.0,19.0,315.0,"120 ppm Ca, 4 ppm Mg, 12 ppm Na, 55 ppm Cl, 19 ppm SO4, 315 ppm HCO3.",0.34545454545454546
470,West Michigan Milk Stout,SWEET / MILK STOUT,2022.0,200.0,36.0,90.0,332.0,79.0,45.0,Water profile is calculated based on what was achieved with mixing my well water and distilled water along with appropriate brewing salt additions.,0.23795180722891565
471,Connection English Porter,ENGLISH PORTER,2022.0,66.0,4.0,37.0,88.0,66.0,65.0,Water profile with various mineral ppm levels,0.75
472,Sunset DayDreamer American Amber Ale,AMERICAN AMBER ALE,2022.0,60.0,8.0,48.0,65.0,80.0,107.0,Water with specified ppm levels,1.2307692307692308
473,Little Moonfinder American Pale Ale,AMERICAN PALE ALE,2022.0,88.0,5.0,13.0,53.0,154.0,31.0,,2.9056603773584904
474,Stand Sure Scottish Export,SCOTTISH ALE,2022.0,72.0,14.0,16.0,52.0,101.0,82.0,Not specified,1.9423076923076923
475,Herbal Joe’s Best Bitter,PALE ALE,2022.0,623.0769230769231,,,1112.3076923076922,,,Water from mash and boil with salts added,
476,Oak City Weissbier,WHEAT & RYE BEER,2022.0,50.0,7.0,8.0,60.0,0.0,0.0,Stated mineral profile levels.,
477,American Beauty Wheat Beer,WHEAT & RYE BEER,2022.0,508.33333333333337,,,,1191.6666666666667,,"Oklahoma City water, carbon filtered",
478,Czech Josef Dark Lager,DARK LAGER,2022.0,55.0,8.0,21.0,59.0,54.0,,"55 ppm Ca, 8 ppm Mg, 21 ppm Na, 59 ppm Cl, 54 ppm SO4.",0.9152542372881356
479,Belly Spots Kellerbier,AMBER LAGER,2022.0,60.0,2.0,30.0,120.0,30.0,7.0,"Portland City water (very soft), deoxygenated, with enough calcium chloride added to reach a mash pH of 5.5",0.25
480,Keith’s German Blonde,PALE LAGER,2022.0,56.25,,,100.41666666666667,,,RO water,
481,Sweet As John Quincy Pilsner,PILSNER,2022.0,70.0,0.0,15.0,87.0,52.0,39.0,Not explicitly specified,0.5977011494252874
482,Carmelo’s German Leichtbier,PALE LAGER,2022.0,50.0,5.0,6.0,70.0,55.0,,Add brewing salts to reverse osmosis water to target water profile.,0.7857142857142857
483,Down Derry Down Colonial Pumpkin Ale,PUMPKIN BEER,2020.0,,,,,,,,
484,Sleep Now in the Fire Winter Seasonal,WINTER WARMER,2021.0,52.0,5.0,15.0,79.0,30.0,,"Ca 52 ppm, Mg 5 ppm, Na 15 ppm, SO4 30 ppm, Cl 79 ppm",0.379746835443038
485,Gluten-Free Chico Pale Ale,PALE ALE,,,,,,,,,
486,I’ll Be Back Barleywine,BARLEYWINE,2022.0,,,,,,,,
487,Quinc-y Jones (American Amber with Membrillo),AMBER ALE,2022.0,50.0,10.0,10.0,40.0,60.0,10.0,"Ca 50 ppm, Mg < 10 ppm, Na < 10 ppm, SO4 60 ppm, Cl 40 ppm, HCO3 < 10 ppm",1.5
488,Twin Pines Piney IPA,IPA,2022.0,,,,,,,,
489,Zamba Pale Ale,AMERICAN PALE ALE,,,,,,,,,
490,Tha CommUNITY American Lager,AMERICAN LAGER,2022.0,,,,,,,,
491,Anne and Rod’s Gruit Wit,WITBIER,2016.0,,,,,,,,
492,Jen Blair’s American-style Barleywine,BARLEYWINE,,,,,,,,,
493,Home Is Where Your Zoigl Is,AMBER LAGER,2022.0,167.4,11.440000000000001,,298.84,123.20000000000002,,"Softened/treated water with lactic acid, gypsum, Epsom salt, calcium chloride",0.4122607415339313
494,Hopfeather IPA,SPECIALTY IPA,2021.0,,,,,,,Target 160 ppm chloride and 75 ppm sulfate using a combination of calcium chloride and calcium sulfate (gypsum). Adjust mash pH target to 5.4.,
495,Maui Brewing Co. Imperial Coconut Porter,AMERICAN PORTER,2016.0,,,,,,,,
496,Simplicity Quad,BELGIAN DARK STRONG ALE,2015.0,,,,,,,Water for mash in (8.7 gallons / 33 L),
497,Herbal Tea Pale Ale,SPICE & HERB BEER,2016.0,,,,,,,De-chlorinated water,
498,Thyme Has Come Today IPA,IPA,,,,,,,,,
499,Conflux #2 White IPA Clone,SPECIALTY IPA,2012.0,,,,,,,,
500,Korova Cream Stout,SWEET / MILK STOUT,2007.0,,,,,,,,
501,Double Black Imperial Black IPA,IPA,2012.0,,,,,,,,
502,Fuil Croi Irish Red Ale,IRISH RED ALE,,,,,,,,,
503,Sour Squash Ale,SPICE & HERB BEER,,,,,,,,,
504,Charismatic MangoFauna,FRUIT BEER,2021.0,,,,,,,Filtered water with 1 tsp CaSO₄,
505,King of the Nubtars Imperial White Ale,WHEAT & RYE BEER,2021.0,109.0,17.0,13.0,89.0,100.0,57.0,"Ca 109 ppm, Mg 17, Na 13 ppm, SO4 100 ppm, Cl 89 ppm, HCO3 57 ppm",1.1235955056179776
506,Pew! Pew! Wild Ale,WILD ALE,2021.0,,,,,,,"Very soft Seattle water with 7 g CaCl2, 5 g CaSO4, and 1.5 g MgSO4 in the mash. Lactic acid added to mash to adjust pH.",
507,Three Witches Wood-Aged Beer,WOOD-AGED BEER,2021.0,,,,,,,,
508,Lagerfeuer Smoke Beer,SMOKE BEER,2021.0,0.0,0.0,0.0,0.0,0.0,,"Reverse osmosis water with additions of NaCl, MgSO4, CaSO4, CaCl2",
509,Serrano Pale Ale,SPICE & HERB BEER,2021.0,,,,,,,,
510,Blue Gueuze,GUEUZE,2021.0,,,,,,,,
511,Kraken Belgian Dark Strong Ale,BELGIAN DARK STRONG ALE,2021.0,67.0,8.0,5.0,30.0,97.0,41.0,"Ca 67 ppm, Mg 8 ppm, Na 5 ppm, SO4 97 ppm, Cl 30 ppm, HCO3 41 ppm. Adjust mash pH to 5.3 with 2.5 mL lactic acid.",3.2333333333333334
512,Listen to the Lion Witbier,WITBIER,2021.0,,,,,,,,
