,style,beer_name,final_results,url,category
118,IRISH RED ALE,Fuil Croi Irish Red Ale,"['ABV: 4.1%', 'IBU: 26', 'SRM: 12']",https://www.homebrewersassociation.org/homebrew-recipe/fuil-croi-irish-red-ale/,All-Grain
119,SPICE & HERB BEER,Sour Squash Ale,"['ABV: 7.30%', 'IBU: 17', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/sour-squash-ale/,All-Grain
120,FRUIT BEER,Charismatic MangoFauna,"['ABV: 4.2%', 'IBU: 15', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/charismatic-mangofauna/,All-Grain
121,WHEAT & RYE BEER,King of the Nubtars Imperial White Ale,"['ABV: 7.80%', 'IBU: 20', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/king-of-the-nubtars-imperial-white-ale/,All-Grain
122,WILD ALE,Pew! Pew! Wild Ale,"['ABV: 5.60%', 'IBU: 4', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/pew-pew-wild-ale/,All-Grain
123,WOOD-AGED BEER,Three Witches Wood-Aged Beer,"['ABV: 9.60%', 'IBU: 29', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/three-witches-wood-aged-beer/,All-Grain
124,SMOKE BEER,Lagerfeuer Smoke Beer,"['ABV: 5.40%', 'IBU: 19', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/lagerfeuer-smoke-beer/,All-Grain
125,SPICE & HERB BEER,Serrano Pale Ale,"['ABV: 6%', 'IBU: 44', 'SRM: 8']",https://www.homebrewersassociation.org/homebrew-recipe/serrano-pale-ale/,All-Grain
126,GUEUZE,Blue Gueuze,"['ABV: 5.30%', 'IBU: 20', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/blue-gueuze/,All-Grain
127,BELGIAN DARK STRONG ALE,Kraken Belgian Dark Strong Ale,"['ABV: 11.60%', 'IBU: 28', 'SRM: 25']",https://www.homebrewersassociation.org/homebrew-recipe/kraken-belgian-dark-strong-ale/,All-Grain
128,WITBIER,Listen to the Lion Witbier,"['ABV: 5.40%', 'IBU: 14', 'FG: 1.011']",https://www.homebrewersassociation.org/homebrew-recipe/listen-to-the-lion-witbier/,All-Grain
129,SAISON,Mark’s Saison,"['ABV: 6.60%', 'IBU: 26', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/marks-saison/,All-Grain
130,IMPERIAL STOUT,Mandy & Wesley’s Imperial Stout,"['ABV: 10%', 'IBU: 66', 'SRM: 44']",https://www.homebrewersassociation.org/homebrew-recipe/mandy-wesleys-imperial-stout/,All-Grain
131,BARLEYWINE,Granny’s Tipple English Barleywine,"['ABV: 10%', 'IBU: 54', 'SRM: 23']",https://www.homebrewersassociation.org/homebrew-recipe/grannys-tipple-english-barleywine/,All-Grain
132,EISBOCK,Googly Eis Eisbock,"['ABV: 10%', 'IBU: 23', 'SRM: 23']",https://www.homebrewersassociation.org/homebrew-recipe/googly-eis-eisbock/,All-Grain
133,HAZY / NEW ENGLAND IPA,Big O! New England IPA,"['ABV: 6.20%', 'IBU: 87', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/big-o-new-england-ipa/,All-Grain
134,SPECIALTY IPA,Forgiveness Machine White IPA,"['ABV: 5.40%', 'IBU: 42', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/forgiveness-machine-white-ipa/,All-Grain
135,AMERICAN IPA,Old Mission IPA,"['ABV: 7.10%', 'IBU: 80', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/old-mission-ipa/,All-Grain
136,AMERICAN PORTER,Sable Porter,"['ABV: 6.40%', 'IBU: 37', 'SRM: 39']",https://www.homebrewersassociation.org/homebrew-recipe/sable-porter/,All-Grain
137,IRISH STOUT,Deep Focus Irish Stout,"['ABV: 4.30%', 'IBU: 33', 'SRM: 34']",https://www.homebrewersassociation.org/homebrew-recipe/deep-focus-irish-stout/,All-Grain
138,FOREIGN / TROPICAL STOUT,Herbal Joe’s Tropical Stout,"['ABV: 11%', 'IBU: 67', 'SRM: 57']",https://www.homebrewersassociation.org/homebrew-recipe/herbal-joes-tropical-stout/,All-Grain
139,ENGLISH PORTER,Chocolate Macadamia Nut Porter,"['ABV: 5.90%', 'IBU: 35', 'SRM: 30']",https://www.homebrewersassociation.org/homebrew-recipe/chocolate-macadamia-nut-porter/,All-Grain
140,AMERICAN BROWN ALE,Tall Tines Brown Ale,"['ABV: 6.20%', 'IBU: 33', 'SRM: 32']",https://www.homebrewersassociation.org/homebrew-recipe/tall-tines-brown-ale/,All-Grain
141,AMERICAN PALE ALE,You and the Hops You Rode In On Pale Ale,"['ABV: 6%', 'IBU: 46', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/you-and-the-hops-you-rode-in-on-pale-ale/,All-Grain
142,SCOTTISH ALE,Beam Me Up Scotty Scottish Export,"['ABV: 6%', 'IBU: 17', 'SRM: 16']",https://www.homebrewersassociation.org/homebrew-recipe/beam-me-up-scotty-scottish-export/,All-Grain
143,ENGLISH BITTER,Herbal Joe’s Best Bitter,"['ABV: 3.70%', 'IBU: 45', 'SRM: 11']",https://www.homebrewersassociation.org/homebrew-recipe/herbal-joes-best-bitter/,All-Grain
144,HEFEWEIZEN,Jeff The Hefe Weissbier,"['ABV: 4.70%', 'IBU: 12', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/jeff-the-hefe-weissbier/,All-Grain
145,AMERICAN WHEAT,Willow Run Wheat Beer,"['ABV: 4.80%', 'IBU: 19', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/willow-run-wheat-beer/,All-Grain
146,DARK LAGER,Temny Czech Dark Lager,"['ABV: 5.40%', 'IBU: 29', 'SRM: 29']",https://www.homebrewersassociation.org/homebrew-recipe/temny-czech-dark-lager/,All-Grain
147,,Helles This,"['ABV: 5.30%', 'IBU: 19', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/helles-this/,All-Grain
148,CZECH / BOHO PILS,Tougher than the Sun Pale Lager,"['ABV: 5.30%', 'IBU: 35', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/tougher-than-the-sun-pale-lager/,All-Grain
149,HELLES,Rombergpark German Helles Exportbier,"['ABV: 5.40%', 'IBU: 25', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/rombergpark-german-helles-exportbier/,All-Grain
150,RAUCHBIER,PTQ Barbecue Rauchbier,"['ABV: 6%', 'OG: 1.070 (17.1°P)', 'FG: 1.025 (6.3°P)']",https://www.homebrewersassociation.org/homebrew-recipe/ptq-barbecue-rauchbier/,All-Grain
151,MARZEN,Dry Dock Docktoberfest,"['ABV: 6%', 'IBU: 22', 'SRM: 12']",https://www.homebrewersassociation.org/homebrew-recipe/dry-dock-doktoberfest/,All-Grain
152,AMERICAN IPA,Orpheus Brewing Azacca IPA,"['ABV: 6.5%', 'IBU: 55', 'FG: 1.012']",https://www.homebrewersassociation.org/homebrew-recipe/orpheus-brewing-azacca-ipa/,All-Grain
153,IMPERIAL STOUT,Black Is Beautiful Imperial Stout (Countdown Brewing Version),"['ABV: 8.8%', 'IBU: 82', 'FG: 1.022 (5.6°P)']",https://www.homebrewersassociation.org/homebrew-recipe/black-is-beautiful-imperial-stout-countdown-brewing-version/,All-Grain
154,ENGLISH BITTER,Fuller’s Chiswick Bitter Clone,"['IBU: 33', 'OG: 1.040 (10°P)', 'FG: 1.010 (2.6°P)']",https://www.homebrewersassociation.org/homebrew-recipe/fullers-chiswick-bitter-clone/,All-Grain
155,AMBER LAGER,Dobrý Den Czech Amber Lager,"['ABV: 5.70%', 'IBU: 28', 'SRM: 13']",https://www.homebrewersassociation.org/homebrew-recipe/dobry-den-czech-amber-lager/,All-Grain
156,FRUIT BEER,Tarty Passions Berliner Weisse,"['ABV: 3.40%', 'IBU: 8', 'SRM: 3.5']",https://www.homebrewersassociation.org/homebrew-recipe/tarty-passions-berliner-weisse/,All-Grain
157,UK/US STRONG ALE,Brookline Barleywine,"['ABV: 8,5%', 'IBU: 70', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/brookline-barleywine/,All-Grain
158,HAZY / NEW ENGLAND IPA,Good Word Brewing Never Sleep New England IPA,"['ABV: 7.2%', 'IBU: 48', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/good-word-brewing-never-sleep-new-england-ipa/,All-Grain
159,BELGIAN ALE,Mad About Saison,"['ABV: 5.8% by volume', 'IBU: 30', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/mad-about-saison/,All-Grain
160,BELGIAN ALE,Witty Dutchman Witbier,"['ABV: 4.40%', 'IBU: 17', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/witty-dutchman-witbier/,All-Grain
161,AMERICAN IPA,Oceania & Homegrown IPA (Split Batch),"['ABV: 6.2%', 'IBU: 52', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/oceania-homegrown-ipa-split-batch/,All-Grain
162,HISTORICAL BEER,"Double Diest, 1851","['ABV: 6%', 'IBU: 23', 'SRM: 19']",https://www.homebrewersassociation.org/homebrew-recipe/double-diest-1851/,All-Grain
163,BLONDE ALE,SMaSH Sensory Blonde Ale,"['ABV: 4.7%', 'IBU: 25', 'FG: 1.010']",https://www.homebrewersassociation.org/homebrew-recipe/smash-sensory-blonde-ale/,All-Grain
164,AMERICAN WHEAT,Summer Wheat,"['ABV: 5%', 'IBU: 23', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/summer-wheat/,All-Grain
165,AMERICAN PALE ALE,Em Day’s Pale Ale,"['ABV: 5.1%', 'IBU: 38', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/em-days-pale-ale/,All-Grain
166,SPECIALTY IPA,"Quad-Boiled, Non-Stopped, Big Hopped & Pretzel-Topped Double India Pale Ale","['IBU: 77', 'OG: 1.107']",https://www.homebrewersassociation.org/homebrew-recipe/quad-boiled-non-stopped-big-hopped-pretzel-topped-double-india-pale-ale/,All-Grain
167,SPICE & HERB BEER,CicadAle (Ale with Cicadas),"['ABV: 7.31%', 'IBU: 92.7', 'FG: 1.026']",https://www.homebrewersassociation.org/homebrew-recipe/cicadale-ale-with-cicadas/,All-Grain
168,BELGIAN ALE,THC-Infused Tripel Royal Stag,"['ABV: 8.6% by volume', 'IBU: 33 IBU', 'SRM: 6.5']",https://www.homebrewersassociation.org/homebrew-recipe/thc-infused-tripel-royal-stag/,All-Grain
169,AMERICAN BROWN ALE,Janet’s Brown Ale – Big Brew 2021,"['ABV: 7.4%', 'IBU: 38', 'SRM: 20']",https://www.homebrewersassociation.org/homebrew-recipe/janets-brown-ale-big-brew-2021/,All-Grain
170,SPICE & HERB BEER,Ube-Licious Lager,"['IBU: 19', 'SRM: 4', 'OG: 1.051']",https://www.homebrewersassociation.org/homebrew-recipe/ube-licious-lager/,All-Grain
171,PALE LAGER,Mow The Damn Lawn,"['ABV: 5.30%', 'SRM: 2', 'OG: 1.048']",https://www.homebrewersassociation.org/homebrew-recipe/mow-the-damn-lawn/,All-Grain
172,BARLEYWINE,Big Bimp! American Barleywine,"['ABV: 10.31%', 'IBU: 100', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/big-bimp-american-barleywine/,All-Grain
173,AMERICAN IPA,A Kveiking We Will Go IPA,"['ABV: 6.8%', 'IBU: 66', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/a-kveiking-we-will-go-ipa/,All-Grain
174,BELGIAN ALE,Spelt Saison #2,"['ABV: 6-6.5%', 'IBU: 25', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/spelt-saison-2/,All-Grain
175,BALTIC PORTER,Smokeska Porter,"['ABV: 10.2%', 'IBU: 56', 'SRM: 51']",https://www.homebrewersassociation.org/homebrew-recipe/smokeska-porter/,All-Grain
176,BRAGGOT,Stone Ship Braggot,"['ABV: 11%', 'IBU: 22', 'SRM: 35']",https://www.homebrewersassociation.org/homebrew-recipe/stone-ship-honey-beer/,All-Grain
177,PORTER,Baltic Bliss,"['ABV: 8.8%', 'IBU: 44', 'SRM: 34']",https://www.homebrewersassociation.org/homebrew-recipe/baltic-bliss/,All-Grain
178,IRISH STOUT,Full Stop Stout,"['ABV: 5.2%', 'IBU: 50', 'SRM: 56']",https://www.homebrewersassociation.org/homebrew-recipe/full-stop-stout/,All-Grain
179,WITBIER,"Leuven White Beer, 1851","['ABV: 2.8%', 'IBU: 10', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/leuven-white-beer-1851/,All-Grain
180,AMERICAN PORTER,Gordon Strong’s American Porter,"['ABV: 6.1%', 'IBU: 34', 'SRM: 36']",https://www.homebrewersassociation.org/homebrew-recipe/gordon-strong-american-porter/,All-Grain
181,UK/US STRONG ALE,Old School Barleywine,"['ABV: 10.00%', 'IBU: 95', 'SRM: 13']",https://www.homebrewersassociation.org/homebrew-recipe/old-school-barleywine/,All-Grain
182,PALE ALE,Columbus Pale Ale,"['ABV: 5.80%', 'IBU: 43', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/columbus-pale-ale/,All-Grain
183,BALTIC PORTER,Zek’s Porter,"['ABV: 9.40%', 'IBU: 38', 'SRM: 28']",https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-zeks-porter/,All-Grain
184,SOUR ALE,Mangose,"['ABV: 4.8%', 'IBU: 8', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/mangose/,All-Grain
185,HISTORICAL BEER,Olavi Viheroja’s Sahti,"['ABV: 8.9%', 'OG: 1.095', 'FG: 1.018']",https://www.homebrewersassociation.org/homebrew-recipe/olavi-viherojas-sahti-2/,All-Grain
186,AMBER ALE,Mad Jack’s Hoppy Amber Ale,"['ABV: 6%', 'IBU: 33', 'SRM: 12-13']",https://www.homebrewersassociation.org/homebrew-recipe/mad-jacks-hoppy-amber-ale/,All-Grain
187,FRUIT BEER,Kumquat Citra Sour,"['ABV: 6.5% by volume', 'IBU: 20 IBU', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/kumquat-citra-sour/,All-Grain
188,SPICE & HERB BEER,THC-Infused Caramel Amber Ale,"['ABV: 5.4% by volume', 'IBU: 46 IBU', 'SRM: 16']",https://www.homebrewersassociation.org/homebrew-recipe/thc-infused-caramel-amber-ale/,All-Grain
189,AMBER ALE,West Seattle Amber Ale,"['ABV: 6.30%', 'IBU: 34', 'SRM: 15']",https://www.homebrewersassociation.org/homebrew-recipe/west-seattle-amber-ale/,All-Grain
190,STOUT,Black is Beautiful Homebrew Recipe,"['ABV: 8.70%', 'IBU: 65', 'SRM: 46']",https://www.homebrewersassociation.org/homebrew-recipe/black-is-beautiful-homebrew-recipe/,All-Grain
191,BROWN ALE,Surly Coffee Bender,"['ABV: 5.50%', 'IBU: 35', 'SRM: 30']",https://www.homebrewersassociation.org/homebrew-recipe/surly-coffee-bender/,All-Grain
192,BELGIAN ALE,Avocado Saison,"['ABV: 6.1% by volume', 'IBU: 26', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/avocado-saison/,All-Grain
193,CHOCOLATE BEER,Liquid Breakfast Maple Stout,"['ABV: 6.3% by volume', 'IBU: 21', 'SRM: 60']",https://www.homebrewersassociation.org/homebrew-recipe/liquid-breakfast-maple-stout/,All-Grain
194,BELGIAN ALE,Saison Tropicale,"['ABV: 5.40%', 'IBU: 22', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/saison-tropicale/,All-Grain
195,BERLINER WEISSE,Monroe Weiss,"['ABV: 3.90%', 'SRM: 3', 'OG: 1.037 (9.3° P)']",https://www.homebrewersassociation.org/homebrew-recipe/monroe-weiss/,All-Grain
196,BERLINER WEISSE,Cariño Sour,"['ABV: 3%', 'IBU: 4', 'SRM: 3']",https://www.homebrewersassociation.org/homebrew-recipe/carino-sour/,All-Grain
197,HISTORICAL BEER,Golden Goblet Gruit Ale,"['ABV: 8.37', 'SRM: 5.7', 'OG: 1.074']",https://www.homebrewersassociation.org/homebrew-recipe/golden-goblet-gruit-ale/,All-Grain
198,IPA,The Tropical Session White IPA,"['ABV: 4.50%', 'IBU: 55', 'SRM: 5.3']",https://www.homebrewersassociation.org/homebrew-recipe/the-tropical-session-white-ipa/,All-Grain
199,HELLES,Let It Go Helles,"['ABV: 4.10%', 'IBU: about 21', 'SRM: 6']",https://www.homebrewersassociation.org/homebrew-recipe/let-it-go-helles/,All-Grain
200,IPA,Black Old Sun IPA,"['ABV: 7.80%', 'IBU: 79.2', 'SRM: 36.9']",https://www.homebrewersassociation.org/homebrew-recipe/black-old-sun-ipa/,All-Grain
201,AMBER ALE,Mild Ale #3,"['ABV: 3.30%', 'IBU: 16', 'SRM: 17']",https://www.homebrewersassociation.org/homebrew-recipe/mild-ale-3/,All-Grain
202,AMERICAN IPA,Quarantine American IPA,"['ABV: 5.90%', 'IBU: 80', 'SRM: 6-7']",https://www.homebrewersassociation.org/homebrew-recipe/quarantine-american-ipa/,All-Grain
203,AMERICAN STOUT,Solstice American Stout,"['ABV: 7.20%', 'IBU: 37', 'SRM: 40']",https://www.homebrewersassociation.org/homebrew-recipe/solstice-american-stout/,All-Grain
204,AMERICAN IPA,One-Ply Rye IPA,"['ABV: 7.20%', 'IBU: 62', 'SRM: 9']",https://www.homebrewersassociation.org/homebrew-recipe/one-ply-rye-ipa/,All-Grain
205,STOUT,Tim’s Sweet Stout,"['ABV: 5.60%', 'IBU: 27', 'SRM: 41']",https://www.homebrewersassociation.org/homebrew-recipe/sweet-stout/,All-Grain
206,AMERICAN IPA,Pangaea Proxima Polar IPA,"['IBU: 60', 'SRM: 5', 'OG: 1.064']",https://www.homebrewersassociation.org/homebrew-recipe/pangaea-proxima-polar-ipa/,All-Grain
207,COFFEE BEER,Espresso Stout,"['IBU: 38', 'OG: 1.051']",https://www.homebrewersassociation.org/homebrew-recipe/espresso-stout/,All-Grain
208,BROWN ALE,“Royal” Historical London Brown Ale,"['OG: 1.038', 'FG: 1.012']",https://www.homebrewersassociation.org/homebrew-recipe/royal/,All-Grain
209,IPA,Tuxedo Speedo Black IPA,"['IBU: 75', 'SRM: 33', 'OG: 1.067']",https://www.homebrewersassociation.org/homebrew-recipe/tuxedo-speedo-black-ipa/,All-Grain
210,BELGIAN ALE,The Singer’s Belgian-style Lambic,"['IBU: 10 (estimated)', 'SRM: 3', 'OG: 1.04']",https://www.homebrewersassociation.org/homebrew-recipe/the-singers-belgian-style-lambic/,All-Grain
211,AMBER LAGER,Anderfest Festbier,"['ABV: 6% by volume', 'IBU: 22', 'SRM: 4']",https://www.homebrewersassociation.org/homebrew-recipe/anderfest-festbier/,All-Grain
212,AMERICAN IPA,Stone-Faced IPA,"['ABV: 6.70%', 'IBU: 52', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/stone-faced-ipa/,All-Grain
213,BELGIAN ALE,Goedt Bier ca. 1679-1689,"['ABV: 8.8 % by volume', 'IBU: 35 IBU', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/goedt-bier-ca-1679-1689/,All-Grain
214,STOUT,Toto Stout,"['ABV: 4.2% by volume', 'IBU: 31 IBU', 'SRM: 50']",https://www.homebrewersassociation.org/homebrew-recipe/toto-stout/,All-Grain
215,AMERICAN PILSNER,Jack’s Classic American Pilsner,"['ABV: 4.6%', 'IBU: 40 IBU', 'SRM: 3-4']",https://www.homebrewersassociation.org/homebrew-recipe/jacks-classic-american-pilsner/,All-Grain
216,BELGIAN ALE,Mead Mamas BDS,"['ABV: 10%', 'IBU: 30', 'SRM: 36']",https://www.homebrewersassociation.org/homebrew-recipe/mead-mamas-bds/,All-Grain
217,ENGLISH PALE ALE,Dodgy Wanker,"['ABV: 3.70%', 'IBU: 42', 'SRM: 8']",https://www.homebrewersassociation.org/homebrew-recipe/dodgy-wanker/,All-Grain
218,ENGLISH PALE ALE,Newtonian ESB,"['ABV: 5.70%', 'IBU: 35', 'SRM: 13']",https://www.homebrewersassociation.org/homebrew-recipe/newtonian-esb/,All-Grain
219,AMERICAN PALE ALE,Majestic Sea Cow American Pale Ale,"['ABV: 5.30%', 'IBU: 34', 'SRM: 3–4']",https://www.homebrewersassociation.org/homebrew-recipe/majestic-sea-cow/,All-Grain
220,BOCK,Dunkelweizendoppelbock,"['ABV: 10.20%', 'IBU: 35', 'SRM: 20']",https://www.homebrewersassociation.org/homebrew-recipe/dunkelweizendoppelbock/,All-Grain
221,STOUT,Triple-X,"['ABV: 4.90%', 'IBU: 29', 'SRM: 39 (78 EBC)']",https://www.homebrewersassociation.org/homebrew-recipe/beer-recipe-of-the-week-triple-x/,All-Grain
222,IMPERIAL STOUT,Bourbon Barrel Aged Full Eclipse II,"['OG: 1.124', 'FG: 1.03']",https://www.homebrewersassociation.org/homebrew-recipe/bourbon-barrel-aged-full-eclipse-ii/,All-Grain
223,SPICE & HERB BEER,Rogue Chocolate Stout Clone,"['ABV: 6.83%', 'IBU: 30', 'SRM: 25']",https://www.homebrewersassociation.org/homebrew-recipe/rogue-chocolate-stout-clone/,All-Grain
224,COFFEE BEER,Peppermint Porter,"['ABV: 7.20%', 'IBU: 29', 'SRM: 22']",https://www.homebrewersassociation.org/homebrew-recipe/peppermint-porter/,All-Grain
225,BROWN ALE,Mike’s Mild,['OG: 1.045 (11.25°P)'],https://www.homebrewersassociation.org/homebrew-recipe/mikes-mild/,All-Grain
226,IPA,Wry Smile Rye IPA,"['ABV: 7.20%', 'IBU: 77', 'SRM: 12']",https://www.homebrewersassociation.org/homebrew-recipe/wry-smile-rye-ipa/,All-Grain
227,BRAGGOT,Valhalla Honey Beer,"['ABV: 15% by volume', 'IBU: 35', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/valhalla-honey-beer/,All-Grain
228,AMERICAN BROWN ALE,Chomolungma Brown Ale,"['ABV: 6.50%', 'IBU: 25', 'SRM: 25']",https://www.homebrewersassociation.org/homebrew-recipe/chomolungma-brown-ale/,All-Grain
229,HYBRID BEER,Klosterman,"['ABV: 5.20%', 'IBU: 10', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/klosterman/,All-Grain
230,SPICE & HERB BEER,Holiday Pumpkin Ale,"['ABV: 7.40%', 'IBU: 19', 'SRM: 12']",https://www.homebrewersassociation.org/homebrew-recipe/holiday-pumpkin-ale/,All-Grain
231,HAZY / NEW ENGLAND IPA,Mango Maya Milkshake IPA,"['ABV: 8.30%', 'IBU: 49', 'SRM: 8']",https://www.homebrewersassociation.org/homebrew-recipe/mango-maya-milkshake-ipa/,All-Grain
232,HELLES,Brewin’ in Maillard Helles,"['ABV: 6.50%', 'IBU: 22', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/brewin-in-maillard-helles/,All-Grain
233,AMBER LAGER,American Vienna Lager,"['ABV: 5.10%', 'IBU: 20', 'SRM: 10']",https://www.homebrewersassociation.org/homebrew-recipe/american-vienna-lager/,All-Grain
234,DARK LAGER,Schwarzer Geist Dark Lager,"['ABV: 4.90%', 'IBU: 29.6', 'SRM: 28.7']",https://www.homebrewersassociation.org/homebrew-recipe/schwarzer-geist-dark-lager/,All-Grain
235,HELLES BOCK,Malty Boye Helles Bock,"['ABV: 7.40%', 'IBU: 32.4', 'SRM: 6.4']",https://www.homebrewersassociation.org/homebrew-recipe/malty-boye-helles-bock/,All-Grain
236,HEFEWEIZEN,Where’s Fluffy Weissbier,"['ABV: 6.50%', 'IBU: 9.8', 'SRM: 5']",https://www.homebrewersassociation.org/homebrew-recipe/wheres-fluffy-weissbier/,All-Grain
237,ENGLISH PALE ALE,Up the Junction Bitter,"['ABV: 5.90%', 'IBU: 34.9', 'SRM: 14']",https://www.homebrewersassociation.org/homebrew-recipe/up-the-junction-bitter/,All-Grain
238,AMBER ALE,Finnegan’s Irish Ale,"['ABV: 4.80%', 'OG: 1.05', 'FG: 1.01']",https://www.homebrewersassociation.org/homebrew-recipe/finnegans-irish-ale/,All-Grain
239,AMERICAN PALE ALE,Citra Summit American Pale Ale,"['ABV: 5.70%', 'IBU: 77.4', 'SRM: 7']",https://www.homebrewersassociation.org/homebrew-recipe/citra-summit-american-pale-ale/,All-Grain
240,AMBER ALE,Kilauea Punch American Amber Ale,"['ABV: 5.60%', 'IBU: 180.9', 'SRM: 14.7']",https://www.homebrewersassociation.org/homebrew-recipe/kilauea-punch-american-amber-ale/,All-Grain
241,BROWN ALE,BCJP Study Group Mild,"['ABV: 3.40%', 'IBU: 17.3', 'SRM: 23']",https://www.homebrewersassociation.org/homebrew-recipe/bcjp-study-group-mild/,All-Grain
242,AMERICAN STOUT,The Singularity Stout,"['ABV: 6.17%', 'IBU: 51', 'SRM: 38.5']",https://www.homebrewersassociation.org/homebrew-recipe/the-singularity-stout/,All-Grain
243,IMPERIAL STOUT,Hammer of the Gord’s Imperial Stout,"['ABV: 10%', 'IBU: 86', 'SRM: 86']",https://www.homebrewersassociation.org/homebrew-recipe/hammer-of-the-gords-imperial-stout/,All-Grain
244,AMERICAN IPA,The Wingman American IPA,"['ABV: 6.04%', 'IBU: 47', 'SRM: 4.79']",https://www.homebrewersassociation.org/homebrew-recipe/the-wingman-american-ipa/,All-Grain
245,OLD ALE,Clan MacIntosh Old Ale,"['ABV: 10%', 'IBU: 32.7', 'SRM: 18.7']",https://www.homebrewersassociation.org/homebrew-recipe/clan-macintosh-old-ale/,All-Grain
246,BELGIAN ALE,David Allen’s Saison,"['ABV: 5.50%', 'IBU: 23', 'SRM: 8']",https://www.homebrewersassociation.org/homebrew-recipe/david-allens-saison/,All-Grain
247,BELGIAN ALE,Brilliant Blond,"['ABV: 7.20%', 'IBU: 19.9', 'SRM: 5.1']",https://www.homebrewersassociation.org/homebrew-recipe/brilliant-blond/,All-Grain
248,BELGIAN ALE,Jon Safadão BDSA,"['ABV: 11.45%', 'IBU: 30.9', 'SRM: 24.7']",https://www.homebrewersassociation.org/homebrew-recipe/jon-safadao-bdsa/,All-Grain
249,GUEUZE,What Gueuze Around Comes Around,"['ABV: 6.50%', 'OG: 1.056', 'FG: 1.002']",https://www.homebrewersassociation.org/homebrew-recipe/what-gueuze-around-comes-around/,All-Grain
250,BERLINER WEISSE,Ich bin ein Berliner,"['ABV: 5.35%', 'SRM: 2.72', 'OG: 1.045']",https://www.homebrewersassociation.org/homebrew-recipe/ich-bin-ein-berliner/,All-Grain
251,AMBER ALE,Smoked Wee Heavy,"['ABV: 8.70%', 'IBU: 40', 'SRM: 23.5']",https://www.homebrewersassociation.org/homebrew-recipe/smoked-wee-heavy/,All-Grain
252,COFFEE BEER,Via Blvd E Specialty Stout,"['ABV: 10%', 'IBU: 68.7', 'SRM: 39.5']",https://www.homebrewersassociation.org/homebrew-recipe/via-blvd-specialty-stout/,All-Grain
253,WILD ALE,Seventh Nature Hoppy Brett Ale,"['ABV: 5.60%', 'IBU: 33.9', 'SRM: 5.4']",https://www.homebrewersassociation.org/homebrew-recipe/seventh-nature-hoppy-brett-ale/,All-Grain
254,BOCK,Three Kings Wheat Eisbock,"['ABV: 11.20%', 'IBU: 27', 'SRM: 19.4']",https://www.homebrewersassociation.org/homebrew-recipe/three-kings-wheat-eisbock/,All-Grain
255,CREAM ALE,“Cream Corn” Cream Ale,"['ABV: 5.38%', 'IBU: 12.7', 'SRM: 2.9']",https://www.homebrewersassociation.org/homebrew-recipe/cream-corn-cream-ale/,All-Grain
256,HELLES,Hot Schnitzel,"['ABV: 5.20%', 'IBU: 18', 'SRM: 4.5']",https://www.homebrewersassociation.org/homebrew-recipe/hot-schnitzel/,All-Grain
